feature,importance
power_level,0.18111084290876583
outdoor_temp_norm,0.08895199607202874
delta_kz,0.08673853311580523
delta_kz_abs,0.08232988953808844
delta_eg,0.07310942459224493
total_delta_abs,0.06786241078501092
delta_az,0.06361248906280516
delta_az_abs,0.06201076617151446
delta_eg_abs,0.06075722715888457
hour_cos,0.03855521381690953
hour_sin,0.0373513728721891
delta_ak,0.03462495765284066
delta_ak_abs,0.03444993180411717
delta_sz,0.03259283237321595
delta_sz_abs,0.028968256887294583
outdoor_temp_change,0.014342094600035068
is_weekend,0.012556619897393257
any_target_changed,7.514069085641448e-05
