feature,importance
power_std,0.4528922247617377
power_spread,0.3033554785180985
power,0.07099553078420234
power_gradient,0.06683732846176585
delta_eg,0.016658462965033375
outdoor_temp,0.013394304802704418
delta_az,0.012475268261937488
delta_kz,0.01149778107321353
delta_az_abs,0.009260764966602003
delta_kz_abs,0.008800583440557803
delta_eg_abs,0.0067910947391218715
delta_sz,0.005387873940749534
delta_ak,0.005361114135255359
delta_ak_abs,0.004805172129631014
delta_sz_abs,0.00452818161006088
hour_cos,0.003431330038793581
hour_sin,0.0030477399476788857
outdoor_gradient,0.00047976542285583466
